DPM2	CDK5
FSTL1	FBN1
FSTL1	CRISPLD2
FSTL1	C1R
FSTL1	CFH
FSTL1	ANGPTL2
FSTL1	FEZ1
FSTL1	CD248
FSTL1	ADAMTS5
FSTL1	F13A1
FSTL1	DDR2
FSTL1	DCN
FSTL1	EFEMP2
FSTL1	CNRIP1
FSTL1	COL3A1
FSTL1	ECM2
FSTL1	COL6A2
FSTL1	FBLN1
FSTL1	COL6A3
FSTL1	CCDC80
RPS11	FAM153B
RPS11	RPL37A
RPS11	RPL38
RPS11	RASEF
RPS11	CYLC1
RPS11	LOC653739
RPS11	OPHN1
RPS11	HERC2P7
RPS11	RPL27A
RPS11	LOC91548
RPS11	ND6
RPS11	MEFV
RPS11	CCDC144C
RPS11	LOC100131998
RPS11	FKSG49
RPS11	GDEP
RPS11	LOC339166
RPS11	C18orf45
RPS11	LOC100133109
RPS11	RPLP2
RPS11	LOC100128329
RPS11	RP5-886K2.1
RPS11	LOC643648
RPS11	PRINS
MMP2	LGI3
MMP2	IL17A
MMP2	GSX1
MMP2	LOC283403
MMP2	C20orf141
MMP2	LOC203274
MMP2	ADIG
MMP2	KIF19
MMP2	KCTD17
MMP2	FLJ21408
MMP2	LOC729986
MMP2	GJC2
MMP2	ADAM20
MMP2	C14orf48
MMP2	LOC100129656
MMP2	FAM153A
MMP2	CRTC1
MMP2	LOC100132767
MMP2	C1orf20
MMP2	ASB14
MMP2	MGC45922
MMP2	DNAH6
MMP2	C15orf55
MMP2	MFSD6L
MMP2	C9orf71
MMP2	LOC220980
MMP2	FLJ33706
MMP2	LOC374890
MMP2	LENEP
MMP2	KRT74
MMP2	GRM7
MMP2	LOC400238
MMP2	HTR6
MMP2	LOC100134368
MMP2	CAMK2A
MMP2	KCNJ5
MMP2	C19orf34
MMP2	CLDN17
MMP2	LOC389043
MMP2	C9orf4
MMP2	LOC145845
MMP2	CETN1
MMP2	KCNJ9
MMP2	CCDC33
MMP2	C11orf36
MMP2	FLJ22596
MMP2	ACRV1
MMP2	LOC284939
MMP2	FLJ30679
MMP2	LOC221122
MMP2	CACNG6
MMP2	LOC644090
MMP2	LOC100129722
MMP2	DYSFIP1
MMP2	KY
MMP2	FSCN3
MMP2	LOC100128977
MMP2	GABRR2
MMP2	C21orf49
MMP2	LOC340074
MMP2	KCNA6
MMP2	HDGFL1
MMP2	DGCR12
MMP2	LCN6
MMP2	LOC651900
MMP2	HRG
MMP2	DEFB124
MMP2	GAFA2
MMP2	AQP2
MMP2	DKFZP434A062
MMP2	LOC283887
MMP2	GPR182
MMP2	KIR3DX1
MMP2	LOC339524
MMP2	FLJ40288
MMP2	APOA5
MMP2	FLJ12825
MMP2	EPHA8
MMP2	MGC5566
MMP2	CHRM5
MMP2	LOC283761
MMP2	LOC100133612
MMP2	DNM1P33
MMP2	LOC286359
MMP2	C20orf200
MMP2	ESPNL
MMP2	DRD2
MMP2	KRTAP4-5
MMP2	FLJ40125
MMP2	ADAM11
MMP2	AAA1
MMP2	LOC728353
MMP2	LOC100129380
MMP2	LMX1A
MMP2	CLP1
MMP2	LOC729173
MMP2	LOC100131303
MMP2	KCNG4
MMP2	HCN4
MMP2	APOBEC2
MMP2	LOC100144597
MMP2	LCE1E
MMP2	CPNE6
MMP2	ISM2
MMP2	C9orf163
MMP2	C21orf104
MMP2	LOC282980
MMP2	LOC147646
MMP2	C21orf93
MMP2	C8orf56
MMP2	CAMKV
MMP2	KRTAP13-1
MMP2	LOC219688
MMP2	CYP1A2
MMP2	GPR52
MMP2	IFLTD1
MMP2	CABP4
MMP2	LOC338963
MMP2	GPHB5
MMP2	ADAM29
MMP2	MMD2
MMP2	LOC149086
MMP2	FLJ34651
MMP2	AGRP
MMP2	GJB4
MMP2	DKFZp564N2472
MMP2	C3orf65
MMP2	GRIN2C
MMP2	KIR2DL1
MMP2	LOC100128003
MMP2	IL25
MMP2	ADRB3
MMP2	LOC100128079
MMP2	LOC283674
MMP2	CRB1
MMP2	H1FNT
MMP2	GAS2L2
MMP2	C22orf26
MMP2	MGC15613
MMP2	LOC100134123
MMP2	HERC2P7
MMP2	LOC100131864
MMP2	C19orf47
MMP2	CDH22
MMP2	GPR62
MMP2	LOC339666
MMP2	C12orf51
MMP2	KIF6
MMP2	LOC283914
MMP2	LOC402779
MMP2	LOC401351
MMP2	CADM3
MMP2	LTBR
MMP2	LOC150527
MMP2	C1orf222
MMP2	GGTLC2
MMP2	C10orf67
MMP2	C2orf81
MMP2	KRTAP10-11
MMP2	KIAA1751
MMP2	C10orf53
MMP2	KCNK9
MMP2	LOC283140
MMP2	FLJ13439
MMP2	CALHM1
MMP2	DLGAP2
MMP2	FLJ33360
MMP2	LOC283697
MMP2	FOXK1
MMP2	LOC100130078
MMP2	LOC283688
MMP2	FAM71A
MMP2	FLJ36208
MMP2	GML
MMP2	C2orf19
MMP2	LHX3
MMP2	C9orf148
MMP2	GATA1
MMP2	LOC375010
MMP2	CLDN19
MMP2	C15orf49
MMP2	LOC100131347
MMP2	LOC100128640
MMP2	C12orf53
MMP2	LOC283888
MMP2	C22orf15
MMP2	ASB15
MMP2	INE1
MMP2	GPBAR1
MMP2	CSF2
MMP2	BSND
MMP2	C1orf127
MMP2	C7orf28A
MMP2	AMZ1
MMP2	LOC400620
MMP2	D21S2088E
MMP2	LOC100129827
MMP2	C18orf62
MMP2	FAM166A
MMP2	LOC440028
MMP2	GFAP
SLMAP	DDX3X
SLMAP	ATF2
SLMAP	CLIC4
DPY30	DDX1
DPY30	ATP5C1
DPY30	ACP1
DPY30	DHX15
DPY30	AUP1
PKNOX2	PAPPA2
TUBD1	C17orf71
TUBD1	PPM1D
TUBD1	RPS6KB1
TUBD1	HEATR6
TUBD1	DHX40
TUBD1	APPBP2
TUBD1	PTRH2
FAM153A	CYP1A2
FAM153A	DNM1P41
FAM153A	ADAM30
FAM153A	CFC1
FAM153A	DEFB124
FAM153A	AMN
FAM153A	AQP2
FAM153A	DKFZP434A062
FAM153A	DLGAP2
FAM153A	ALMS1P
FAM153A	C14orf70
FAM153A	CCDC144C
FAM153A	DKFZp564N2472
FAM153A	EPHA8
FAM153A	C15orf55
FAM153A	ADRB3
FAM153A	ADAM21
FAM153A	BCL6B
FAM153A	DNM1P33
FAM153A	C21orf62
FAM153A	DKFZp547J222
FAM153A	C20orf200
FAM153A	C22orf26
FAM153A	ESPNL
FAM153A	ADCY2
FAM153A	DKFZP434K028
FAM153A	ADM2
FAM153A	DRD2
FAM153A	DLGAP3
FAM153A	ADAM11
FAM153A	AAA1
FAM153A	DGCR5
FAM153A	CLP1
FAM153A	APOBEC2
FAM153A	CAMKK1
FAM153A	DAND5
FAM153A	CSF2
FAM153A	AIPL1
FAM153A	C19orf47
FAM153A	CDH22
FAM153A	CCDC33
FAM153A	C11orf36
